attendance_percent,daily_study_hours,weekly_consistency_score,previous_marks,assignments_submitted,assignment_completion_rate,sleep_hours,social_media_hours,department,final_marks
62.5,4.19,1.9,66.1,6,60.0,7.9,5.4,AI&DS,58.0
97.0,3.22,5.4,63.8,2,20.0,6.7,1.8,IT,58.0
83.9,1.86,8.7,36.5,6,60.0,6.1,3.5,CSE,48.3
75.9,4.88,7.3,55.5,7,70.0,3.6,5.8,CSE,59.6
49.4,4.11,8.1,57.8,9,90.0,5.8,4.5,AI&DS,57.5
49.4,0.98,6.6,58.9,5,50.0,9.4,3.4,ECE,46.8
43.5,5.47,6.9,69.8,9,90.0,8.7,2.6,ECE,79.0
92.0,4.94,8.5,67.0,8,80.0,4.5,6.7,CSE,77.2
76.1,5.7,2.5,71.5,5,50.0,6.3,1.2,ECE,76.0
82.5,4.35,4.9,80.9,8,80.0,8.7,3.4,CSE,74.0
41.2,3.68,2.2,83.8,3,30.0,3.5,7.2,AI&DS,40.2
98.2,2.51,9.9,78.1,7,70.0,5.7,6.8,AI&DS,70.7
89.9,5.6,9.4,92.3,10,100.0,9.0,3.2,CSE,88.3
52.7,5.2,0.4,36.1,3,30.0,5.8,6.1,AI&DS,32.4
50.9,0.27,7.1,46.7,1,10.0,3.5,6.6,IT,12.9
51.0,0.16,9.3,35.5,9,90.0,6.8,7.1,IT,27.1
58.3,2.26,1.8,73.8,10,100.0,9.0,4.4,AI&DS,44.6
71.5,4.86,5.7,88.9,8,80.0,7.1,1.6,CSE,77.5
65.9,5.92,9.2,49.6,4,40.0,4.6,2.0,CSE,56.8
57.5,0.9,0.3,90.6,3,30.0,5.7,2.4,AI&DS,36.2
76.7,3.56,7.0,38.6,1,10.0,6.2,4.8,ECE,46.6
48.4,2.29,3.0,91.1,0,0.0,7.1,0.3,IT,48.4
57.5,5.82,9.2,56.1,10,100.0,8.3,5.1,ECE,70.3
62.0,5.05,9.7,41.1,6,60.0,3.7,2.9,CSE,62.3
67.4,5.03,9.4,64.2,5,50.0,9.2,2.4,CSE,71.1
87.1,2.81,4.7,50.4,1,10.0,3.1,7.0,ECE,42.4
52.0,2.49,8.6,52.1,7,70.0,5.6,3.7,AI&DS,47.1
70.9,1.64,8.4,53.4,10,100.0,3.2,0.8,ECE,63.9
75.5,0.34,3.2,83.2,3,30.0,5.8,6.6,ECE,37.7
42.8,5.19,8.3,67.3,7,70.0,6.7,0.4,IT,67.3
76.5,4.88,0.4,53.7,6,60.0,6.6,5.8,IT,58.8
50.2,6.0,6.0,71.6,4,40.0,4.2,6.2,ECE,46.4
43.9,5.98,2.3,78.0,9,90.0,7.5,2.8,ECE,76.1
96.9,3.33,1.2,51.4,9,90.0,3.3,6.6,CSE,48.3
97.9,4.61,0.8,59.8,7,70.0,8.3,4.1,IT,59.2
88.5,5.67,7.0,42.3,8,80.0,9.6,3.7,IT,72.2
58.3,5.1,3.4,45.9,4,40.0,5.4,0.4,CSE,52.2
45.9,1.48,7.2,75.9,9,90.0,6.6,2.3,AI&DS,62.8
81.1,2.7,0.7,45.9,4,40.0,5.7,7.4,IT,32.7
66.4,0.77,3.2,66.5,1,10.0,3.0,3.1,IT,32.2
47.3,5.72,5.4,77.5,4,40.0,5.7,4.4,AI&DS,48.6
69.7,3.64,7.9,41.4,2,20.0,8.5,4.3,IT,51.5
42.1,1.37,3.2,69.0,6,60.0,7.2,4.7,IT,33.0
94.6,4.03,6.3,50.4,9,90.0,3.7,0.5,AI&DS,72.9
55.5,3.71,8.9,92.8,4,40.0,8.9,2.9,AI&DS,60.2
79.8,2.15,6.2,64.0,7,70.0,6.7,5.8,ECE,41.5
58.7,0.68,2.3,83.4,0,0.0,8.9,1.6,CSE,39.6
71.2,4.03,0.2,68.0,2,20.0,7.1,1.6,CSE,53.5
72.8,3.12,8.7,37.6,2,20.0,6.9,0.1,AI&DS,58.1
51.1,4.63,0.2,73.0,8,80.0,3.7,3.5,AI&DS,58.7
98.2,3.12,8.7,92.1,4,40.0,4.2,7.1,IT,69.4
86.5,5.11,5.3,71.1,8,80.0,9.8,0.4,ECE,82.3
96.4,3.31,9.4,84.2,8,80.0,4.6,1.5,ECE,77.8
93.7,3.37,8.0,88.1,0,0.0,9.8,2.5,AI&DS,56.7
75.9,5.26,10.0,48.7,1,10.0,6.7,5.9,IT,54.8
95.3,2.42,3.5,47.7,4,40.0,4.0,5.1,IT,44.5
45.3,0.8,7.7,71.7,3,30.0,3.7,3.3,CSE,32.8
51.8,0.17,4.0,59.7,9,90.0,4.5,6.1,CSE,34.4
42.7,4.53,4.8,85.4,8,80.0,9.5,4.9,IT,62.7
59.5,3.72,6.3,89.0,6,60.0,5.9,7.2,CSE,48.7
63.3,4.22,8.7,56.2,5,50.0,5.8,6.5,AI&DS,45.6
56.3,1.28,9.8,49.2,6,60.0,5.2,2.0,IT,44.2
89.7,0.82,7.7,81.8,0,0.0,4.0,2.2,CSE,45.0
61.4,0.09,4.2,51.5,0,0.0,6.4,1.0,ECE,23.2
56.9,2.1,4.2,84.4,7,70.0,3.9,2.7,IT,44.8
72.6,3.54,7.4,60.4,1,10.0,8.8,8.0,IT,36.5
48.5,2.35,2.4,75.1,9,90.0,5.6,3.2,ECE,54.5
88.1,2.62,1.1,40.7,10,100.0,5.6,1.8,AI&DS,64.6
44.5,5.42,3.5,72.4,8,80.0,6.3,6.1,ECE,48.5
99.2,2.09,2.9,62.1,6,60.0,6.1,4.3,IT,56.7
86.3,3.08,3.0,70.2,5,50.0,10.0,1.2,AI&DS,65.3
51.9,4.7,2.3,45.1,0,0.0,6.8,3.0,CSE,32.7
40.3,2.38,0.4,79.2,0,0.0,3.6,3.3,CSE,29.4
88.9,3.73,0.2,86.8,1,10.0,7.2,6.0,CSE,64.5
82.4,5.17,9.9,48.0,5,50.0,4.1,0.2,IT,71.9
83.7,5.7,4.3,40.7,5,50.0,3.2,2.2,ECE,57.2
86.3,0.88,3.8,36.4,1,10.0,9.8,4.1,AI&DS,30.1
44.4,5.56,6.8,73.5,0,0.0,8.4,2.2,CSE,45.7
61.5,2.95,2.2,71.4,9,90.0,9.9,5.0,AI&DS,53.3
47.0,1.55,9.5,67.8,4,40.0,6.3,3.9,IT,52.3
91.8,2.75,7.9,48.9,4,40.0,6.7,2.9,CSE,52.9
77.4,5.88,0.9,58.5,1,10.0,4.2,7.6,IT,33.2
59.9,2.96,4.2,70.7,5,50.0,4.7,5.1,ECE,40.8
43.8,1.97,8.8,64.8,8,80.0,8.9,1.0,IT,59.1
58.7,3.8,9.4,94.3,1,10.0,5.5,4.5,IT,52.4
59.5,1.44,4.7,43.2,9,90.0,8.8,6.2,ECE,34.8
83.8,0.46,6.1,76.7,1,10.0,8.0,5.7,AI&DS,42.5
78.3,0.77,1.7,59.3,2,20.0,4.2,1.4,ECE,38.8
93.2,0.77,9.9,60.7,6,60.0,6.6,7.8,ECE,40.5
68.3,0.91,2.3,78.1,5,50.0,7.7,3.6,IT,44.8
47.2,0.83,9.4,76.5,7,70.0,4.6,1.3,AI&DS,46.5
82.8,3.85,6.5,94.5,7,70.0,8.8,1.4,CSE,73.5
85.6,1.09,6.1,42.7,5,50.0,6.8,0.8,ECE,45.9
73.7,2.07,5.1,41.2,10,100.0,4.2,6.4,AI&DS,46.9
86.3,5.38,2.3,78.5,9,90.0,7.1,1.0,ECE,76.3
69.6,2.84,1.8,69.7,2,20.0,10.0,1.0,ECE,39.5
71.4,4.01,2.2,51.4,2,20.0,4.1,6.8,ECE,37.3
65.7,1.03,1.9,39.8,0,0.0,8.7,2.8,ECE,32.7
41.5,1.15,7.8,40.1,6,60.0,4.5,0.2,IT,34.1
46.5,0.25,3.5,88.7,4,40.0,8.5,0.4,AI&DS,42.2
41.9,1.01,0.6,46.5,3,30.0,8.1,1.1,AI&DS,27.6
78.2,1.67,9.7,54.4,9,90.0,5.1,1.7,AI&DS,57.4
58.9,1.06,8.8,48.6,3,30.0,5.3,5.3,ECE,38.2
70.5,0.53,9.3,56.3,3,30.0,8.5,1.3,IT,47.2
94.5,0.72,9.9,39.2,5,50.0,6.2,1.0,ECE,58.1
55.0,2.76,1.7,66.1,7,70.0,8.1,6.1,ECE,39.1
64.6,1.24,4.0,39.1,7,70.0,4.0,5.4,AI&DS,30.0
